Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
A & P Tyne,2,onshore,,Wind Direct Ltd,Renewables Direct Ltd (100%),,,1,2,,England,Tyne & Wear,North East,South Tyneside,,South Tyneside Council,ST/0186/08/FUL,54.9844,-1.51667,NZ 31029 65640,80,127,94,Consented,Approved,Consented,07-Apr-09,07-Apr-12,20 years after first generation,,,,,,,,,"07/04/2009 Approved ;
01/01/2008 Submitted (LPA)",01-Jan-08,(LPA) ,07-Apr-09,Approved (LPA) ,,,,,,,,,,,
"Abbey Road, 209 Turbine 1",0.25,onshore,,Wind NI Ltd,Resonance British Wind Energy Income (100%),Bonus,Bonus,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"305 East of 209 Abbey Road, Newtownards",,Ards and North Down Borough Council,X/2013/0308/F,54.5921,-5.54138,NW 71310 27644,40,49.5,39,Operational,Fully Commissioned,Consented,21-Jan-17,,1 years after abandonment,,,,,,,,,"21/01/2017 Fully Commissioned ;
01/10/2016 Under construction [estimate] ;
16/01/2014 Approved ;
08/07/2013 Submitted (LPA)",08-Jul-13,(LPA) ,16-Jan-14,Approved (LPA) ,,,01-Oct-16,Under construction [Estimate],21-Jan-17,,,,16-Aug-19,Resonance has acquired the project from Wind NI.,RenewableUK comment
"Abbey Road, 209 Turbine 2",0.25,onshore,,Wind NI Ltd,Albion Community Power plc (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"580m NE of 209 Abbey Road, Millisle",,Ards and North Down Borough Council,X/2014/0150/F,54.5941,-5.53866,NW 71496 27856,40,59.5,39,Operational,Fully Commissioned,Consented,21-Nov-16,,1 years after abandonment,,,,,,,,,"21/11/2016 Fully Commissioned ;
01/08/2015 Under construction [estimate] ;
25/09/2014 Approved ;
19/03/2014 Submitted (LPA)",19-Mar-14,(LPA) ,25-Sep-14,Approved (LPA) ,,,01-Aug-15,Under construction [Estimate],21-Nov-16,,,,,,
Abbotsmoor,0.5,onshore,,Engena Ltd,Farmwind (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Shropshire,West Midlands,"Haughton, SY11 4HF",,Shropshire Council,11/00498/FUL,52.8416,-2.92267,SJ 37949 27518,45,67,54,Under construction,Under construction,Consented,23-Jul-14,,30 years after consent,02-Nov-41,,,,,,,,"23/07/2014 Under construction ;
02/11/2011 Approved ;
08/09/2011 Submitted (LPA)",08-Sep-11,(LPA) ,02-Nov-11,Approved (LPA) ,,,23-Jul-14,Under construction ,,,,,,,
Aber Valley Community Turbine,0.5,onshore,,Seren Energy Ltd,Community Owned Project (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Wales,Caerphilly,South Wales,"Land At Graig-yr-Hufen Road, Senghenydd",,Caerphilly County Borough Council,16/0385/FULL,51.6199,-3.28198,ST 11344 92015,50,77,54,Consented,Approved,Consented,17-Oct-16,17-Oct-21,,,,,,,,,,"17/10/2016 Approved ;
17/05/2016 Submitted (LPA)",17-May-16,(LPA) ,17-Oct-16,Approved (LPA) ,,,,,,,,,,,
Aberarder,36,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,12,3,,Scotland,Highland,Scotland,"Carn Ghriogair, Aberarder Estate",,Highland Council,15/00737/FUL,57.2536,-4.24444,NH 64693 20333,,130,100,Consented,Approved on appeal,Consented,07-Apr-17,07-Apr-20,25 years after first generation,,,,,,,,,"07/04/2017 Approved on appeal ;
14/07/2016 On appeal ;
19/04/2016 Refused ;
27/02/2015 Submitted (LPA)",27-Feb-15,(LPA) ,19-Apr-16,Refused (LPA) ,07-Apr-17,Approved on appeal ,,,,,,,22-Nov-17,RES has requested a variation to the consent to allow turbines to be deployed with a 117m rotor at Aberarder,RenewableUK comment
Abercairney,66,onshore,,Force 9 Energy,Force 9 Energy (100%),,,24,2.75,,Scotland,Perth & Kinross,Scotland,"Crieff, Strath Earn.",,Perth & Kinross Council,,56.3822,-3.75861,NN 91506 22490,,,,Refused,Refused on appeal,Refused,08-Sep-06,,,,,,,,,,,"08/09/2006 Refused on appeal ;
24/05/2005 On appeal ;
01/05/2005 Refused ;
01/01/2004 Submitted (S36)",01-Jan-04,(S36) ,01-May-05,Refused (S36) ,08-Sep-06,Refused on appeal ,,,,,,,,,
Aberffrydlan,0.18,onshore,,Landowner (private or company),Landowner (private or company) (100%),Endurance,Endurance X29,1,0.18,Horizontal axis turbine,Wales,Powys,Mid Wales,"Llanwrin, Machynlleth, SY20 8NA",,Powys County Council,P/2015/0368,52.6181,-3.82372,SH 76631 03824,30.5,48.01,29.1,Operational,Fully Commissioned,Consented,01-Jul-16,,,,,,,,,,,"01/07/2016 Fully Commissioned ;
14/01/2016 Under construction [estimate] ;
29/09/2015 Approved ;
31/05/2015 Scoping Opinion Issued ;
08/04/2015 Submitted (LPA) ;
10/02/2015 Scoping",08-Apr-15,(LPA) ,29-Sep-15,Approved (LPA) ,,,14-Jan-16,Under construction [Estimate],01-Jul-16,,,,,,
Abergorki,9,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,3,3,,Wales,Rhondda Cynon Taff,South Wales,"Vraig Yr Aber, NE of Forch-Orky, Treorchy",,Rhondda Cynon Taf County Borough Council,13/0663/10,51.68,-3.50556,SS 96004 98989,,149.9,,Consented,Approved,Consented,09-Jul-15,,,,,,,,,,,"09/07/2015 Approved ;
27/06/2013 Submitted (LPA)",27-Jun-13,(LPA) ,09-Jul-15,Approved (LPA) ,,,,,,,,,28-Feb-18,Rhondda Cynon Taf County Borough Council has granted permission to increase the tip height to 150m.,17/1308/39 (Planning reference)
Abergwaun Community Turbine,0.225,onshore,,Community Owned Project,Community Owned Project (100%),Endurance,Endurance X29,1,0.225,Horizontal axis turbine,Wales,Pembrokeshire,Mid Wales,"Trebover Farm, Llanychaer, Fishguard",,Pembrokeshire County Council,13/0415/PA,51.9853,-4.96278,SM 96650 36018,30.5,45,29,Operational,Fully Commissioned,Consented,30-Sep-15,,25 years after fully commissioned,30-Sep-40,,,,,,,,"30/09/2015 Fully Commissioned [estimate] ;
29/06/2015 Under construction ;
01/08/2014 Approved on appeal ;
28/04/2014 On appeal ;
08/01/2014 Refused ;
15/08/2013 Submitted (LPA)",15-Aug-13,(LPA) ,08-Jan-14,Refused (LPA) ,01-Aug-14,Approved on appeal ,29-Jun-15,Under construction ,30-Sep-15,[Estimate],,,,,
ABP Newport,2.35,onshore,,Associated British Ports,Associated British Ports (100%),Enercon,Enercon E82,1,2.35,Horizontal axis turbine,Wales,Newport,South Wales,"11 East Way Road, Alexandra Docks, Newport, NP20 2NQ",,Newport City Council,12/0649,51.5588,-2.97219,ST 32700 84883,80,125,82,Operational,Fully Commissioned,Consented,01-Apr-14,,Not specified,,,,,,,,,"01/04/2014 Fully Commissioned [estimate] ;
26/03/2014 Partial Operation ;
01/11/2013 Under construction [estimate] ;
01/11/2012 Approved ;
29/06/2012 Submitted (LPA)",29-Jun-12,(LPA) ,01-Nov-12,Approved (LPA) ,,,01-Nov-13,Under construction [Estimate],01-Apr-14,[Estimate],,,,,
ABP Newport 2,2.3,onshore,,Associated British Ports,Associated British Ports (100%),Enercon,Enercon E82,1,2.3,Horizontal axis turbine,Wales,Newport,South Wales,"South Dock, East Way Road, Alexandra Docks",,Newport City Council,15/0839,51.5558,-2.97361,ST 32597 84551,85,126,82,Operational,Fully Commissioned,Consented,25-Aug-16,,,,,,,,,,,"25/08/2016 Fully Commissioned ;
30/03/2016 Under construction ;
30/09/2015 Approved ;
09/07/2015 Submitted (LPA)",09-Jul-15,(LPA) ,30-Sep-15,Approved (LPA) ,,,30-Mar-16,Under construction ,25-Aug-16,,,,30-Mar-16,ABP announced investment and start of construction on 30/03/2016,"http://www.abports.co.uk/newsarticle/289/
http://www.abports.co.uk/newsarticle/289/"
Accolade Wines,2.5,onshore,,Cleanearth Energy,Landowner (private or company) (100%),Vensys,Vensys 112,1,2.5,Horizontal axis turbine,England,Bristol,South West,"Accolade Park, Kings Weston Lane, Avonmouth, BS11 9FG",,Bristol City Council,17/02240/F,51.5156,-2.68761,ST 52383 79853,73.7,130,112.5,Operational,Fully Commissioned,Consented,28-May-19,,27 years after consent,01-Sep-44,,,,,,,,"28/05/2019 Fully Commissioned ;
22/05/2019 Under construction ;
01/09/2017 Approved ;
21/04/2017 Submitted (LPA) ;
24/02/2017 Scoping Opinion Issued ;
04/01/2017 Scoping",21-Apr-17,(LPA) ,01-Sep-17,Approved (LPA) ,,,22-May-19,Under construction ,28-May-19,,,,22-May-19,The single wind turbine at Accolade Wines has been erected.,https://www.bristolpost.co.uk/news/business/wind-turbine-height-bristol-avonmouth-2892885
"Achairn Farm, Stirkoke",6.15,onshore,,Landowner (private or company),Landowner (private or company) (100%),Senvion,Senvion MM82,3,2.05,Horizontal axis turbine,Scotland,Caithness,Scotland,"Wick, KW1 5SG",,Highland Council,04/00366/FULCA,58.4381,-3.20228,ND 29904 50601,59,100,82,Operational,Fully Commissioned,Consented,01-May-09,,,,,,,,,,,"01/05/2009 Fully Commissioned ;
01/04/2009 Under construction ;
30/05/2007 Approved ;
11/08/2004 Submitted (LPA)",11-Aug-04,(LPA) ,30-May-07,Approved (LPA) ,,,01-Apr-09,Under construction ,01-May-09,,,,,,
Achany Estate,38,onshore,,SSE Renewables,SSE Renewables (100%),Senvion,Senvion MM82,19,2,Horizontal axis turbine,Scotland,Highland,Scotland,"Lairg, Sutherland",,Highland Council,05/00398/FULSU,58.0044,-4.53167,NC 50490 04493,59,100,82,Operational,Fully Commissioned,Consented,01-Oct-10,,,,,,,,,,,"01/10/2010 Fully Commissioned ;
01/04/2009 Under construction ;
15/12/2007 Approved on appeal ;
01/10/2007 On appeal ;
28/09/2006 Refused ;
27/10/2005 Submitted (LPA)",27-Oct-05,(LPA) ,28-Sep-06,Refused (LPA) ,15-Dec-07,Approved on appeal ,01-Apr-09,Under construction ,01-Oct-10,,,,,,
Achlachan,10.25,onshore,,Whirlwind Renewables,Whirlwind Renewables (100%),Senvion,Senvion MM92,5,2.05,Horizontal axis turbine,Scotland,Caithness,Scotland,"Watten, Mybster",,Highland Council,13/01190/FUL,58.4483,-3.45667,ND 15077 52034,69,115,92,Operational,Fully Commissioned,Consented,08-Apr-19,,,,,,,,,,,"08/04/2019 Fully Commissioned ;
20/02/2018 Under construction ;
13/11/2013 Approved ;
29/03/2013 Submitted (LPA)",29-Mar-13,(LPA) ,13-Nov-13,Approved (LPA) ,,,20-Feb-18,Under construction ,08-Apr-19,,,,20-Feb-18,Whirlwind Renewables has confirmed that construction has commenced at Achlachan,http://www.whirlwindrenewables.com/achlachan-wind-farm-construction-started/
Achlachan 2,6.05,onshore,,Whirlwind Renewables,Whirlwind Renewables (100%),Senvion,Senvion MM92,3,2.05,Horizontal axis turbine,Scotland,Highland,Scotland,"Watten, Mybster",,Highland Council,15/01831/FUL,58.4411,-3.4525,ND 15303 51227,64,110,92,Consented,Approved on appeal,Consented,02-May-16,02-May-21,25 years after first generation,,,,,,,,,"02/05/2016 Approved on appeal ;
09/11/2015 On appeal ;
18/09/2015 Refused ;
11/05/2015 Submitted (LPA)",11-May-15,(LPA) ,18-Sep-15,Refused (LPA) ,02-May-16,Approved on appeal ,,,,,,,02-May-16,The DPEA has approved the appeal against refusal of planning permission by The Highland Council. Ref PPA-270-2142,http://www.whirlwindrenewables.com/achlachan-2-approved-at-appeal/
Ach-Na Cloich,0.5,onshore,,Dawn Energy LLP,Dawn Energy LLP (100%),,,1,0.5,,Scotland,Highland,Scotland,"Loaneckheim, Kiltarlity",,Highland Council,14/00062/FUL,57.4186,-4.5,NH 49954 39232,,67,,Refused,Refused,Refused,07-Mar-14,,,,,,,,,,,"07/03/2014 Refused ;
09/01/2014 Submitted (LPA)",09-Jan-14,(LPA) ,07-Mar-14,Refused (LPA) ,,,,,,,,,,,
A'Chruach,46,onshore,,Infinis Energy Services Ltd,Infinis Energy Services Ltd (100%),,,20,2.3,,Scotland,Argyll & Bute,Scotland,Lochgilphead,,Argyll and Bute Council,07/02387/DET,56.1397,-5.34,NR 92580 99136,,110,82,Withdrawn,Withdrawn after approval,Consented,22-Dec-11,,,,,,,,,,,"22/12/2011 Withdrawn after approval ;
07/05/2008 Approved ;
14/01/2008 Submitted (LPA)",14-Jan-08,(LPA) ,07-May-08,Approved (LPA) ,,,,,,,A'Chruach (Resubmission),,,,
A'Chruach (Resubmission),42.6,onshore,,Infinis Energy Services Ltd,Ventient Energy Ltd (100%),Senvion,Senvion MM100; Senvion MM92,21,2.03,Horizontal axis turbine,Scotland,Argyll & Bute,Scotland,Lochgilphead,,Argyll and Bute Council,11/02520/PP,56.1397,-5.34,NR 92580 99136,80.5,126.5,92,Operational,Fully Commissioned,Consented,31-Mar-16,,25 years after fully commissioned,31-Mar-41,,,,,,,,"31/03/2016 Fully Commissioned ;
20/01/2016 Partial Operation ;
01/12/2014 Under construction ;
22/05/2013 Approved ;
22/12/2011 Submitted (LPA)",22-Dec-11,(LPA) ,22-May-13,Approved (LPA) ,,,01-Dec-14,Under construction ,31-Mar-16,,,A'Chruach,26-Nov-17,"Ventient Energy Ltd., formed by combining the Zephyr portfolio of 15 wind farms with 19 wind farms that were formerly owned by Infinis, with the entire portfolio of wind farms and now owned by institutional investors advised by JP Morgan Asset Management, was officially launched on 26 November 2017.",https://www.ventientenergy.com/news-and-media/press-releases/2017/2017/november/uk%E2%80%99s-third-largest-wind-farm-owner-operator-launches-today-as-ventient-energy/
A'Chruach Phase 2,4.1,onshore,,Infinis Energy Services Ltd,Muirhall Energy Ltd (100%),Senvion,Senvion (unknown model),2,2.05,Horizontal axis turbine,Scotland,Argyll & Bute,Scotland,Lochgilphead,,Argyll and Bute Council,14/02829/PP,56.1244,-5.31,NR 94362 97344,78,128,100,Consented,Approved,Consented,28-Aug-15,10-Jun-21,25 years after first generation,,,,,,,,,"28/08/2015 Approved ;
02/12/2014 Submitted (LPA)",02-Dec-14,(LPA) ,28-Aug-15,Approved (LPA) ,,,,,,,,,21-Jul-17,"Muirhall Energy and independent onshore wind development partner WWS Renewables, have announced the completion of the acquisition of the Infinis Group’s onshore wind development phase assets from Terra Firma. The transaction includes 6 consented projects amounting to 90 MW generating capacity portfolio with sites in Scotland, England and Wales.",http://muirhallenergy.co.uk/2017/07/muirhall-wws-acquires-infinis-onshore-wind-development-assets/
Ackron Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,Scotland,Highland,Scotland,"Golval, Forsinard",,Highland Council,12/04245/FUL,58.5406,-3.87333,NC 91048 62911,50,78,,Refused,Refused,Refused,22-Apr-13,,,,,,,,,,,"22/04/2013 Refused ;
03/11/2012 Submitted (LPA)",03-Nov-12,(LPA) ,22-Apr-13,Refused (LPA) ,,,,,,,Ackron Farm (Resubmission),,,,
Ackron Farm (2nd Resubmission),0.2,onshore,,AE Associates,Landowner (private or company) (100%),,,2,0.1,,Scotland,Highland,Scotland,"Golval, Forsinard",,Highland Council,14/04333/FUL,58.5408,-3.8847,NC 90387 62954,25,35.4,20.8,Consented,Approved,Consented,19-May-15,19-May-18,25 years after consent,19-May-40,,,,,,,,"19/05/2015 Approved ;
18/11/2014 Submitted (LPA)",18-Nov-14,(LPA) ,19-May-15,Approved (LPA) ,,,,,,,,Ackron Farm (Resubmission),,,
Acres Farm,0.1,onshore,,VG Energy Ltd,Landowner (private or company) (100%),Northern Power Systems,NPS100-21,1,0.1,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,"The Acres Farm, Roman Road, Sandford, Strathaven, ML10 6PJ",,South Lanarkshire Council,HM/15/0086,55.6707,-4.0041,NS 74052 43735,36.7,47.2,21,Consented,Approved,Consented,18-Mar-16,22-Mar-19,25 years after consent,18-Mar-41,,,,,,,,"18/03/2016 Approved ;
04/03/2015 Submitted (LPA)",04-Mar-15,(LPA) ,18-Mar-16,Approved (LPA) ,,,,,,,,,,,
Addinston Farm,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Scotland,Scottish Borders,Scotland,Lauder,,Scottish Borders Council,13/00095/FUL,55.7692,-2.76667,NT 51997 53140,,48,,Refused,Refused on appeal,Refused,08-Oct-14,,,,,,,,,,,"08/10/2014 Refused on appeal ;
11/07/2014 On appeal ;
18/04/2014 Refused ;
25/01/2013 Submitted (LPA)",25-Jan-13,(LPA) ,18-Apr-14,Refused (LPA) ,08-Oct-14,Refused on appeal ,,,,,,,,,
Advanced Manufacturing Research Centre,1.35,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas; WES,Vestas V52; WES 30,3,0.85,Horizontal axis turbine,England,South Yorkshire,Yorkshire & Humber,"Waverley, Sheffield",,Sheffield City Council,,53.3867,-1.37833,SK 41445 87942,60,86,52,Ceased operating,Fully Decommissioned,Refused,06-Oct-11,,,,,,,,,,,"06/10/2011 Fully Decommissioned ;
08/12/2008 Fully Commissioned ;
01/06/2008 Under construction ;
01/06/2007 Approved ;
08/12/2006 Submitted (LPA)",08-Dec-06,(LPA) ,01-Jun-07,Approved (LPA) ,,,01-Jun-08,Under construction ,08-Dec-08,,,,,,
Aesica,6,onshore,,TNEI Services Ltd,TNEI Services Ltd (100%),,,2,3,,England,Northumberland,North East,Cramlington,,Blyth Valley DC,06/00276/FUL,55.0978,-1.62083,NZ 24295 78219,90,140,100,Refused,Refused,Refused,01-Aug-06,,,,,,,,,,,"01/08/2006 Refused ;
01/05/2006 Submitted (LPA)",01-May-06,(LPA) ,01-Aug-06,Refused (LPA) ,,,,,,,Aesica (Resubmission),,,,
Aesica (Resubmission),5,onshore,,TNEI Services Ltd,TNEI Services Ltd (100%),,,2,2.5,,England,Northumberland,North East,Cramlington,,Blyth Valley DC,06/00384/RES,55.0978,-1.62083,NZ 24295 78219,,125,,Refused,Refused,Refused,30-Jan-07,,,,,,,,,,,"30/01/2007 Refused ;
01/08/2006 Submitted (LPA)",01-Aug-06,(LPA) ,30-Jan-07,Refused (LPA) ,,,,,,,,Aesica,,,
Afonbedw,2.25,onshore,,Zero Carbon Marine Ltd,Zero Carbon Marine Ltd (100%),,,3,0.75,,Wales,Ceredigion,Mid Wales,Clump,,Ceredigion County Council,,,,,50,75,50,Refused,Refused,Refused,01-Oct-00,,,,,,,,,,,"01/10/2000 Refused ;
01/06/2000 Submitted (LPA)",01-Jun-00,(LPA) ,01-Oct-00,Refused (LPA) ,,,,,,,,,,,
Africa Alive,4.1,onshore,,SLP Energy,Equitix Ltd (100%),Senvion,Senvion MM92,2,2.05,Horizontal axis turbine,England,Suffolk,East of England,"Whites Lane, Kessingland, Lowestoft",,Waveney District Council,DC/06/1401/FUL,52.4147,1.70278,TM 51902 86084,80.5,126.5,92,Operational,Fully Commissioned,Consented,09-Aug-11,,25 years after first generation,05-Jul-36,,,,,,,,"09/08/2011 Fully Commissioned ;
05/07/2011 Partial Operation ;
01/06/2010 Under construction ;
16/07/2009 Approved on JR ;
11/06/2008 Judicial Review ;
01/05/2008 Approved on appeal [non-determination] ;
01/01/2008 On appeal [non-determination] ;
15/12/2006 Submitted (LPA)",15-Dec-06,(LPA) ,,Not determined ,16-Jul-09,Approved on JR ,01-Jun-10,Under construction ,09-Aug-11,,,,15-Feb-19,Thrive Renewables have sold two onshore wind farms totalling 13MW in generation capacity to Equitix.,https://www.thriverenewables.co.uk/latest-news/news/sale-of-two-wind-farms-to-fund-new-sustainable-energy-projects/
Afton,50,onshore,,E.ON Climate & Renewables UK Ltd,Red Rock Power Ltd (100%),Gamesa,Gamesa G80,25,2,Horizontal axis turbine,Scotland,East Ayrshire,Scotland,New Cumnock,,East Ayrshire Council,,55.3108,-4.17111,NS 62299 04005,80,120,80,Operational,Fully Commissioned,Consented,22-Oct-18,,25 years after fully commissioned,22-Oct-43,,,,,,,,"22/10/2018 Fully Commissioned ;
22/02/2018 Partial Operation ;
11/05/2017 Under construction ;
17/10/2014 Approved ;
01/11/2004 Submitted (S36)",01-Nov-04,(S36) ,17-Oct-14,Approved (S36) ,,,11-May-17,Under construction ,22-Oct-18,,,,10-Oct-18,Red Rock Power has acquired the project from Infrared.,RenewableUK comment
Aftonlea,0.5,onshore,,Intelligent Land Investments,Intelligent Land Investments (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,"Aftonlea, High Kype Road, Sandford, Strathaven, ML10 6PW",,South Lanarkshire Council,EK/14/0333,55.6416,-4.02518,NS 72632 40535,50,77,54,Consented,Approved,Consented,16-Dec-13,12-Jan-19,25 years after consent,13-Jan-44,,,,,,,,"16/12/2013 Approved ;
27/12/2012 Submitted (LPA)",27-Dec-12,(LPA) ,16-Dec-13,Approved (LPA) ,,,,,,,,,13-Jan-16,"Following the failure of South Lanarkshire Council to determine a variation request to increase the tip height for a single consented turbine at Aftonlea, a Reporter appointed by Scottish Ministers has alloed an appeal and has granted planning permission for a 77m turbine. Planning appeal reference PPA-380-2065 refers.",EK/15/0264 (Planning reference)
AG Barr Factory,0.5,onshore,,Infinergy Ltd,Albion Community Power plc (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,Lanarkshire,Scotland,"Westfield House, 4 Mollins Road, Westfield, Cumbernauld, Glasgow",,North Lanarkshire Council,08/01461/FUL,55.9332,-4.06027,NS 71389 73039,43,70,54,Operational,Fully Commissioned,Consented,25-Sep-15,,25 years after fully commissioned,25-Sep-40,,,,,,,,"25/09/2015 Fully Commissioned ;
01/06/2015 Under construction ;
21/07/2011 Approved ;
13/10/2008 Submitted (LPA)",13-Oct-08,(LPA) ,21-Jul-11,Approved (LPA) ,,,01-Jun-15,Under construction ,25-Sep-15,,,,,,
"Aghaboy Road, 20",0.25,onshore,,Breen Architects & Consultants,Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"391m South of 20 Aghaboy Road, Omagh",,Omagh District Council,K/2013/0268/F,54.6771,-7.14089,NV 68745 43484,40,55,30,Consented,Approved,Consented,09-Sep-14,08-Sep-19,25 years after fully commissioned,,,,,,,,,"09/09/2014 Approved ;
07/06/2013 Submitted (LPA)",07-Jun-13,(LPA) ,09-Sep-14,Approved (LPA) ,,,,,,,,,,,
"Aghaboy Road, 24a",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"460m SW of 24a Aghaboy Road, Omagh, BT79 7QY",,Omagh District Council,K/2013/0079/F,54.6794,-7.13111,NV 69393 43691,40,59.5,39,Operational,Fully Commissioned,Consented,22-Sep-17,,1 years after abandonment,,,,,,,,,"22/09/2017 Fully Commissioned ;
01/03/2017 Under construction [estimate] ;
31/05/2013 Approved ;
22/02/2013 Submitted (LPA)",22-Feb-13,(LPA) ,31-May-13,Approved (LPA) ,,,01-Mar-17,Under construction [Estimate],22-Sep-17,,,,03-Mar-15,An application to increase the size of the permitted turbine at 24a Aghaboy Road has been approved.,K/2013/0555/F (Planning reference)
"Aghafad Road, 160",0.225,onshore,,Si Energy Ltd,Interwind Ltd (50%); Landowner (private or company) (50%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"375m south west of 160 Aghafad Road, Clogher, BT76 0XN",,Omagh District Council,K/2011/0261/F,54.4605,-7.23398,NV 60954 19861,31,44.5,27,Operational,Fully Commissioned,Consented,16-Apr-15,,Not specified,,,,,,,,,"16/04/2015 Fully Commissioned ;
01/12/2014 Under construction [estimate] ;
04/09/2012 Approved ;
08/04/2011 Submitted (LPA)",08-Apr-11,(LPA) ,04-Sep-12,Approved (LPA) ,,,01-Dec-14,Under construction [Estimate],16-Apr-15,,,,,,
"Aghafad Road, 161",0.225,onshore,,Gravis Planning Ltd,Landowner (private or company) (100%),Norwin,Norwin 29,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"200m North East of161 Aghafad Road, Clogher",,Omagh District Council,K/2014/0065/F,54.4632,-7.24083,NV 60533 20192,30.4,44.95,29.1,Consented,Approved,Consented,01-Jun-15,31-May-20,1 years after abandonment,,,,,,,,,"01/06/2015 Approved ;
19/02/2014 Submitted (LPA)",19-Feb-14,(LPA) ,01-Jun-15,Approved (LPA) ,,,,,,,,,,,
"Aghafad Road, 18",0.25,onshore,,NRG Solutions Ltd,Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,300m West of 18 Aghafad Road Pomeroy,,Mid Ulster District Council,M/2011/0023/F,54.5625,-6.92456,NV 81782 29745,32,47,30,Operational,Fully Commissioned,Consented,01-Jan-14,,1 years after abandonment,,,,,,,,,"01/01/2014 Fully Commissioned ;
04/04/2013 Under construction ;
01/06/2011 Approved ;
21/12/2010 Submitted (LPA)",21-Dec-10,(LPA) ,01-Jun-11,Approved (LPA) ,,,04-Apr-13,Under construction ,01-Jan-14,,,,,,
"Aghafad Road, 38",0.15,onshore,,CD Consulting,Landowner (private or company) (100%),Bonus,Bonus B24/150,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"300m South West of No. 38 Aghafad Road, Pomeroy, Dungannon",,Mid Ulster District Council,M/2011/0655/F,54.5654,-6.93067,NV 81410 30089,31,43,24,Consented,Approved,Consented,09-Jul-13,08-Jul-18,25 years after fully commissioned,,,,,,,,,"09/07/2013 Approved ;
07/11/2011 Submitted (LPA)",07-Nov-11,(LPA) ,09-Jul-13,Approved (LPA) ,,,,,,,,,,,
"Aghaloo Road, 19",0.25,onshore,,Gravis Planning Ltd,Landowner (private or company) (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Tyrone,Northern Ireland,"390m NE of 19 Aghaloo Road, Aughnacloy",,Mid Ulster District Council,M/2013/0176/F,54.4463,-6.98082,NV 77231 17081,30,45,30,Consented,Approved,Consented,13-Jan-14,12-Jan-19,25 years after fully commissioned,,,,,,,,,"13/01/2014 Approved ;
16/04/2013 Submitted (LPA)",16-Apr-13,(LPA) ,13-Jan-14,Approved (LPA) ,,,,,,,,,,,
Aghaloughan Road,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,Randalstown,,Antrim and Newtonabbey Borough Council,T/2012/0132/F,54.7367,-6.34889,NW 20168 46652,32,,,Refused,Refused,Refused,27-Sep-13,,,,,,,,,,,"27/09/2013 Refused ;
27/04/2012 Submitted (LPA)",27-Apr-12,(LPA) ,27-Sep-13,Refused (LPA) ,,,,,,,,,,,
