Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
"Ballyhill Road, 133",0.25,onshore,,Clyde Shanks Ltd,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Antrim,Northern Ireland,"287m South of 133 Ballyhill Road, Ballyutoag, Belfast",,Antrim and Newtonabbey Borough Council,LA03/2015/0286/F,54.6316,-6.02667,NW 40226 33729,40,55,30,Consented,Approved,Consented,17-Oct-16,16-Oct-21,,,,,,,,,,"17/10/2016 Approved ;
07/07/2015 Submitted (LPA)",07-Jul-15,(LPA) ,17-Oct-16,Approved (LPA) ,,,,,,,,,,,
"Ballyhome Road, 18",0.225,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Norwin,Norwin 29,1,0.225,,Northern Ireland,Co. Londonderry,Northern Ireland,"317m NE of 18 Ballyhome Road, Portrush, BT52 2LU",,Causeway Coast & Glens Borough Council,"	C/2014/0065/F",55.1762,-6.60149,,30.4,44.95,29.1,Operational,Fully Commissioned,Consented,28-Sep-17,,1 years after abandonment,,,,,,,,,"28/09/2017 Fully Commissioned ;
01/05/2017 Under construction [estimate] ;
23/07/2014 Approved ;
03/03/2014 Submitted (LPA)",03-Mar-14,(LPA) ,23-Jul-14,Approved (LPA) ,,,01-May-17,Under construction [Estimate],28-Sep-17,,,,,,
"Ballyhome Road, 55",0.25,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Vergnet,Vergnet GEV MP-R,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"520m NW of 55 Ballyhome Road, Portrush, BT52 2LX",,Causeway Coast & Glens Borough Council,C/2011/0626/F,55.1906,-6.6075,NW 06863 98171,32.4,48.4,32,Operational,Fully Commissioned,Consented,21-Sep-17,,25 years after first generation,,,,,,,,,"21/09/2017 Fully Commissioned ;
21/05/2017 Under construction [estimate] ;
30/09/2013 Approved on appeal ;
07/05/2013 On appeal ;
24/01/2013 Refused ;
21/12/2011 Submitted (LPA)",21-Dec-11,(LPA) ,24-Jan-13,Refused (LPA) ,30-Sep-13,Approved on appeal ,21-May-17,Under construction [Estimate],21-Sep-17,,,,,,
"Ballyhornan Road, 153",0.25,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,664m South West of 153 Ballyhornan Road Downpatrick,,Downpatrick DC,R/2013/0069/F,54.3078,-5.61944,SB 64642 96289,32.3,48.3,32,Operational,Fully Commissioned,Consented,11-Jan-17,,25 years after fully commissioned,11-Jan-42,,,,,,,,"11/01/2017 Fully Commissioned ;
01/10/2016 Under construction [estimate] ;
10/09/2013 Approved ;
18/02/2013 Submitted (LPA)",18-Feb-13,(LPA) ,10-Sep-13,Approved (LPA) ,,,01-Oct-16,Under construction [Estimate],11-Jan-17,,,,,,
Ballykeel,16.1,onshore,,Wind NI Ltd,Wind NI Ltd (100%),,,7,2.3,,Northern Ireland,Co. Antrim,Northern Ireland,Larne,,Mid and East Antrim Borough Council,F/2013/0244/F,54.8572,-5.90611,NW 49401 58372,64,99.5,71,Consented,Approved,Consented,13-Dec-16,12-Dec-21,Not specified,,,,,,,,,"13/12/2016 Approved ;
30/01/2014 Submitted (LPA)",30-Jan-14,(LPA) ,13-Dec-16,Approved (LPA) ,,,,,,,,,13-Dec-16,The project has been granted planning permission,http://www.larnetimes.co.uk/news/kilwaughter-wind-farm-gets-green-light-1-7730428
"Ballykeery Road, 2",0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Tyrone,Northern Ireland,"540m North East of 2 Ballykeery Road, Strabane, BT82 0SS",,Derry City & Strabane District Council,J/2010/0410/F,54.7976,-7.3445,NV 56657 57856,31,,,Operational,Fully Commissioned,Consented,15-Mar-16,,1 years after abandonment,,,,,,,,,"15/03/2016 Fully Commissioned ;
01/10/2015 Under construction [estimate] ;
31/08/2011 Approved ;
18/10/2010 Submitted (LPA)",18-Oct-10,(LPA) ,31-Aug-11,Approved (LPA) ,,,01-Oct-15,Under construction [Estimate],15-Mar-16,,,,,,
"Ballykennedy Road, 17",0.225,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Norwin,Norwin 29,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,"360m South East of 17 Ballykennedy Road, Nutts Corner, BT29 4SU",,Antrim and Newtonabbey Borough Council,T/2012/0171/F,54.6232,-6.11726,NW 34328 33136,30.4,44.95,29.1,Operational,Fully Commissioned,Consented,09-Mar-17,,1 years after abandonment,,,,,,,,,"09/03/2017 Fully Commissioned ;
01/12/2016 Under construction ;
14/03/2014 Approved on appeal ;
04/02/2014 On appeal [estimate] ;
27/09/2013 Refused ;
15/05/2012 Submitted (LPA)",15-May-12,(LPA) ,27-Sep-13,Refused (LPA) ,14-Mar-14,Approved on appeal ,01-Dec-16,Under construction ,09-Mar-17,,,,,,
Ballykenver Road,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,Northern Ireland,Co. Antrim,Northern Ireland,Ballymoney,,Causeway Coast & Glens Borough Council,D/2012/0253/F,55.1228,-6.39722,NW 19761 89769,32,47,,Consented,Approved,Consented,03-Jun-13,02-Jun-18,,,,,,,,,,"03/06/2013 Approved ;
01/11/2012 Submitted (LPA)",01-Nov-12,(LPA) ,03-Jun-13,Approved (LPA) ,,,,,,,,,,,
"Ballykilbeg Road, 32",0.225,onshore,,Si Energy Ltd,Landowner (private or company) (100%),Vestas,Vestas V27,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"370m North East of 32 Ballykilbeg Road, Downpatrick",,Downpatrick DC,R/2011/0474/F,54.2961,-5.758,SB 55563 95464,40,53.5,27,Operational,Fully Commissioned,Consented,13-Jun-16,,0.5 years after abandonment,,,Replaced,"Ballykilbeg Road, 32 (Replacement) [Submitted (LPA), 22-Nov-2017, 0.25MW]",,,,,"13/06/2016 Fully Commissioned ;
01/05/2016 Under construction ;
25/07/2012 Approved ;
15/06/2011 Submitted (LPA)",15-Jun-11,(LPA) ,25-Jul-12,Approved (LPA) ,,,01-May-16,Under construction ,13-Jun-16,,,,12-Aug-15,"An application to amend the hub height of a consented turbine at Ballykilbeg Road has been approved by Newry, Mourne and Down District Council",RenewableUK comment
"Ballykine Road, 47",0.15,onshore,,Landowner (private or company),Landowner (private or company) (100%),Bonus,Bonus B23/150,1,0.15,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"200m North West of 47 Ballykine Road, Ballynahinch, BT24 8JE",,Lisburn & Castlereagh City Council,S/2013/0502/F,54.4141,-5.97078,NW 42464 09343,30,41.5,23,Operational,Fully Commissioned,Consented,28-Jun-16,,1 years after abandonment,,,,,,,,,"28/06/2016 Fully Commissioned ;
01/02/2016 Under construction [estimate] ;
18/12/2015 Approved ;
04/09/2013 Submitted (LPA)",04-Sep-13,(LPA) ,18-Dec-15,Approved (LPA) ,,,01-Feb-16,Under construction [Estimate],28-Jun-16,,,,,,
"Ballylagan Road, 31",0.25,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),WTN,WTN 250,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"710m NE of 31 Ballylagan Road, Coleraine, BT52 2PQ",,Causeway Coast & Glens Borough Council,C/2012/0359/F,55.1786,-6.62528,NW 05644 96912,32.3,47.3,30,Operational,Fully Commissioned,Consented,25-Aug-16,,1 years after abandonment,,,,,,,,,"25/08/2016 Fully Commissioned ;
01/05/2016 Under construction [estimate] ;
04/08/2014 Approved ;
24/08/2012 Submitted (LPA)",24-Aug-12,(LPA) ,04-Aug-14,Approved (LPA) ,,,01-May-16,Under construction [Estimate],25-Aug-16,,,,,,
