Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Parbroath Wood,0.2,onshore,,AE Associates,AE Associates (100%),Northern Power Systems,NPS100C-24,2,0.1,Horizontal axis turbine,Scotland,Fife,Scotland,"Land To South Of Parbroath Wood, Parbroath, Luthrie",,Fife Council,17/02647/SCR,56.3504,-3.10114,NO 32045 18112,36.6,48.8,24.4,Development,Scoping Opinion Issued,30-Oct-17,,,,,,,,,,,"30/10/2017 Scoping Opinion Issued ;
17/08/2017 Scoping",,,,,,,,,,,,,30-Oct-17,"Fife Council have confirmed that an Environmental Impact Assessment is not required to accompany an application for two 100kw turbines on land south of Parbroath Wood, Fife",RenewableUK comment
Paxton Place,2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,England,Lancashire,North West,"Land on the SW of Paxton Place, Skelmersdale, WN8 9PL",,West Lancashire Borough Council,2017/0106/SCR,53.5294,-2.77108,SD 48984 03915,,126,,Development,Scoping Opinion Issued,10-Mar-17,,,,,,,,,,,"10/03/2017 Scoping Opinion Issued ;
25/01/2017 Scoping",,,,,,,,,,,,,10-Mar-17,"West Lancashire Borough Council have determinted that an Environmental Impact Statement is not required for CleanEarth Energy's proposed development near West Pimbo industrial estate, Skelmersdale.",RenewableUK comment
Pen y Waun Farm,2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,Wales,Neath Port Talbot,South Wales,"Pen-Y- Waun Farm, Rhyd Y Fro, Pontardawe, SA8 4TA",,Neath Port Talbot Council,P2018/0035,51.7793,-3.85915,SN 71840 10591,,130,,Development,Scoping Opinion Issued,08-Feb-18,,,,,,,,,,,"08/02/2018 Scoping Opinion Issued ;
11/01/2018 Scoping",,,,,,,,,,,,,08-Feb-18,Neath Port Talbot Council has decided that an EIA is not required to support a planning application for a single turbine at Pen y Waun Farm.,RenewableUK comment
Penhydd,2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,Wales,Neath Port Talbot,South Wales,"Penhydd Afan Forest, Port Talbot, CF34 0HA",,Neath Port Talbot Council,P2017/0120,51.6219,-3.68246,SS 83624 92792,,126,,Development,Scoping Opinion Issued,23-Feb-17,,,,,,,,,,,"23/02/2017 Scoping Opinion Issued ;
06/02/2017 Scoping",,,,,,,,,,,,,23-Feb-17,Neath Port Talbot Council has decided that an EIA is not required to support a planning application for a single 126m turbine at Penhydd.,RenewableUK comment
Quantans Hill (Resubmission),36,onshore,,E.ON Climate & Renewables UK Ltd,E.ON Climate & Renewables UK Ltd (100%),,,12,3,,Scotland,Dumfries & Galloway,Scotland,"Quantans Hill Wind Farm, Carsphairn",,Dumfries & Galloway Council,16/N/2/0002,55.22,-4.21778,NX 59016 93996,,,,Development,Development,26-Apr-16,,,,,,,,,,,26/04/2016 Development,,,,,,,,,,,,Quantans Hill,26-Apr-16,E.ON have submitted a Pre-application notice for a proposed development of Quantans Hill wind farm comprising of up to 12 turbines and up to 36MW capacity.,RenewableUK comment
Quanterness,24,onshore,,Orkney Islands Council,Orkney Islands Council (100%),,,6,4,,Scotland,Orkney,Scotland,St Ola,,Orkney Islands Council,19/175/SCO,59.0055,-3.01752,HY 41650 13600,,150,,Development,Scoping Opinion Issued,16-Jul-19,,,,,,,,,,,"16/07/2019 Scoping Opinion Issued ;
26/04/2019 Scoping ;
09/11/2007 Scoping Opinion Issued ;
21/09/2007 Scoping",,,,,,,,,,,,,16-Jul-19,Orkney Islands Council has issued its Scoping Opinion the the Council's proposed Qunaterness wind farm development.,RenewableUK comment
Raymond House,2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,England,Lancashire,North West,"Hannah Food Services Ltd, Land at Raymond House, 4 Garnett Place, Skelmersdale, WN8 9UB",,West Lancashire Borough Council,2017/0463/SCR,53.5424,-2.78223,SD 48261 05369,,126,,Development,Scoping Opinion Issued,19-May-17,,,,,,,,,,,"19/05/2017 Scoping Opinion Issued ;
27/04/2017 Scoping",,,,,,,,,,,,,19-May-17,West Lancashire Borough Council have determined that the proposed development does not require an Environmental Impact Assessment.,RenewableUK comment
Red Moss,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,Caithness,Scotland,"855m NW of Papillion Cottage. Mid Clyth, Lybster, KW3 6BA",,Highland Council,18/03583/SCRE,58.3401,-3.22471,ND 28396 39719,,135,,Development,Scoping Opinion Issued,23-Aug-18,,,,,,,,,,,"23/08/2018 Scoping Opinion Issued ;
30/07/2018 Scoping",,,,,,,,,,,,,23-Aug-18,The Highland Council have decided that an EIA is required to support an application for a single wind turbine at Red Moss.,RenewableUK comment
Regis Banqueting,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,North Lanarkshire,Scotland,"5 Mid Road, Blairlinn, Cumbernauld, Glasgow, G67 2TT",,North Lanarkshire Council,18/00140/EIASCR,55.9312,-3.98974,NS 75788 72693,,130,,Development,Scoping Opinion Issued,09-May-18,,,,,,,,,,,"09/05/2018 Scoping Opinion Issued ;
01/02/2018 Scoping",,,,,,,,,,,,,01-Feb-18,Cleanearth Energy has submitted a scoping opinion request for a single 130m high turbine in Cumbernauld.,RenewableUK comment
Rennibister Extension,20,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E115,5,4,Horizontal axis turbine,Scotland,Orkney,Scotland,"Firth, KW15 1TX",,Orkney Islands Council,19/042/SCO,59.0007,-3.039,HY 40408 13080,67,125,115.7,Development,Scoping Opinion Issued,07-May-19,,,,,,,,,,,"07/05/2019 Scoping Opinion Issued ;
28/01/2019 Scoping",,,,,,,,,,,,,07-May-19,Orkney Islands Council has issued its Scoping Opinion for the proposed Rennibister Extension wind farm.,RenewableUK comment
