Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Tofts Road West,2.5,onshore,,Seneca Global Energy Ltd,Seneca Global Energy Ltd (100%),Enercon,Enercon E126,1,2.5,Horizontal axis turbine,England,County Durham,North East,Hartlepool,,Hartlepool Borough Council,H/2018/0275,54.6456,-1.20528,NZ 51383 28122,,99,82,Development,Scoping,10-Jul-18,,,,,,,,,,,"10/07/2018 Scoping ;
20/07/2016 Inactive ;
20/06/2014 Submitted (LPA)",20-Jun-14,(LPA) ,,,,,,,,,,,10-Jul-18,"A scoping opinion request has been submitted for a wind turbine with maximum tip height 99m and capacity of 2.5MW at Tofts Road West, Hartlepool. A proposed turbine submitted in 2014 at the same location was considered favourably by the council but following the intervention of the Secretary of State, consent was not forthcoming. Reference H/2018/0275.",RenewableUK comment
Tol Mor,24,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,6,4,,Scotland,Western Isles,Scotland,"Upper Barvas, Isle Of Lewis",,Western Isles / Comhairle nan Eilan Siar,19/00012/PANSCR,58.3844,-6.51659,NB 36110 52864,92,150,115,Development,Scoping,10-Jan-19,,,,,,,,,,,10/01/2019 Scoping,,,,,,,,,,,,,10-Jan-19,A pre-application screening notice has been submitted to Comhairle nan Eilean Siar for a six wind turbine development at Tol Mor on the Isle of Lewis. Tip heights are indicated at 150m.,RenewableUK comment
Tomchrasky,54,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,18,3,,Scotland,Highland,Scotland,"Tomchrasky Estate, 900M NE Of Beinn An T-Sidhein, Dalchreichart, Glenmoriston",,Highland Council,16/03602/SCOP,57.2027,-4.9124,NH 24166 16196,,145,,Development,Scoping Opinion Issued,06-Sep-16,,,,,,,,,,,"06/09/2016 Scoping Opinion Issued ;
09/08/2016 Scoping",,,,,,,,,,,,,,,
Tormsdale,67.2,onshore,,Arise AB,Arise AB (100%),,,16,4.2,,Scotland,Caithness,Scotland,15km South of Thurso,,Highland Council,ECU00001879,58.4308,-3.48721,ND 13252 50129,,149.9,,Development,Scoping,27-Jun-19,,,,,,,,,,,27/06/2019 Scoping,,,,,,,,,,,,,27-Jun-19,Arise has submitted a Scoping Opinion request for Tormsdale wind farm consisting of 16 turbines with tip heights up to 149.9m. The site is located in close proximity to the operational Causeymire wind farm.,RenewableUK comment
Torranan Sleibh,0.8,onshore,,The Energy Workshop Ltd,The Energy Workshop Ltd (100%),,,1,0.8,,Scotland,Highland,Scotland,"Land 2425M NW Of Fannyfield House, Swordale, Evanton",,Highland Council,19/00221/SCRE,57.6628,-4.47344,NH 52540 66344,51,79,56,Development,Scoping Opinion Issued,05-Feb-19,,,,,,,,,,,"05/02/2019 Scoping Opinion Issued ;
11/01/2019 Scoping",,,,,,,,,,,,,05-Feb-19,The Highland Council have decided that an EIA is required to support an application for a single wind turbine at Torranan Sleibh.,RenewableUK comment
Torrs Hill B,60,onshore,,Fred. Olsen Renewables Ltd,Fred. Olsen Renewables Ltd (100%),,,12,5,,Scotland,Dumfries & Galloway,Scotland,North West Of St Johns Town Of Dalry,,Dumfries & Galloway Council,19/0613/SCO,55.1745,-4.31033,NX 52961 89125,,250,,Development,Scoping Opinion Issued,28-May-19,,,,,,,,,solar; storage,solar ?MW; storage: Torrs Hill B Battery Storage [Scoping Opinion Issued] ?MW,"28/05/2019 Scoping Opinion Issued ;
16/04/2019 Scoping",,,,,,,,,,,,Torrs Hill,28-May-19,Dumfries & Galloway Council has issued its scoping opinion for the proposed Torrs Hill B wind farm and battery storage scheme.,RenewableUK comment
Upper Ogmore,24,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,8,3,,Wales,Bridgend,South Wales,"Land surrounding Werfa Telecom mast between Abergwynfi, Blaengarw and Nantymoel",,Bridgend County Borough Council,P/18/213/ESO,51.6388,-3.56928,SS 91500 94500,100,150,100,Development,Scoping Opinion Issued,03-May-18,,,,,,,,,storage,storage: Upper Ogmore Battery Storage [Scoping Opinion Issued] 4MW,"03/05/2018 Scoping Opinion Issued ;
26/03/2018 Scoping",,,,,,,,,,,,,26-Mar-18,RES have submitted a Scoping Opinion Report to Bridgend County Bourough Council for a proposed 8 turbine wind farm and battery energy storage system. Indicative turbine dimensions are hub heights of 100m and a rotor diameter of 100m. The indicative capacity of each turbine is 2 - 3MW.,RenewableUK comment
UPS London Gateway,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,England,Essex,East of England,"UPS West, 1 Ocean Boulevard, Stanford Le Hope, SS17 9FD",,Thurrock Council,18/01601/SCO,51.5122,0.468235,TQ 71371 82141,,135,,Development,Scoping Opinion Issued,11-Dec-18,,,,,,,,,,,"11/12/2018 Scoping Opinion Issued ;
06/11/2018 Scoping ;
30/10/2018 Scoping Opinion Issued ;
08/10/2018 Scoping",,,,,,,,,,,,,11-Dec-18,Thurrock Council have issued advice with respect to a Scoping Opinion request for a single turbine at London Gateway.,RenewableUK comment
Wauchope Newcastleton,306,onshore,,Partnerships for Renewables Development Company Ltd,Partnerships for Renewables Development Company Ltd (100%),,,90,3.4,,Scotland,Scottish Borders,Scotland,south of Hawick,,Scottish Borders Council,,55.175,-2.72,NY 54241 86981,80,132,,Development,Scoping Opinion Issued,18-Mar-16,,,,,,,,,,,18/03/2016 Scoping Opinion Issued,,,,,,,,,,,,,18-Mar-16,The Scottish Government has issued its scoping opinion for Wauchope Newcastleton wind farm,RenewableUK comment
West Dykes,,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,,,Scotland,South Lanarkshire,Scotland,"West Dykehead Farm, Muirkirk Road, Strathaven, ML10 6RF",,South Lanarkshire Council,P/19/0913,55.6217,-4.09909,NS 67913 38453,,125,,Development,Scoping,06-Jun-19,,,,,,,,,,,06/06/2019 Scoping,,,,,,,,,,,,,06-Jun-19,Cleanearth has submitted a screening opinion for a single 125m tip turbine at West Dykes.,RenewableUK comment
XPO Logistics,1.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,1.5,,Scotland,Aberdeenshire,Scotland,"XPO Logistics, 9 Minto Avenue, Aberdeen, AB12 3JZ",,Aberdeen City Council,170870/ESC,57.1182,-2.07211,NJ 95732 03030,,130,,Development,Scoping Opinion Issued,09-Aug-17,,,,,,,,,,,"09/08/2017 Scoping Opinion Issued ;
20/07/2017 Scoping",,,,,,,,,,,,,,,
Y Bryn,,onshore,,Coriolis Energy,ESB (100%),,,,,,Wales,Neath Port Talbot,South Wales,near Port Talbot - NOTE GRID LOCATIONS ARE VERY APPROXIMATE,,Neath Port Talbot Council,,51.6128,-3.71248,SS 81523 91826,,,,Development,Development,10-Jul-19,,,,,,,,,,,10/07/2019 Development,,,,,,,,,,,,,10-Jul-19,Coriolis Energy and ESB have been awarded the rights to develop a wind farm project on land owned by Natural Resources Wales near Port Talbot within TAN8 strategic search area F.,https://naturalresources.wales/about-us/news-and-events/news/plans-for-port-talbot-renewable-energy-project
